LAKENAME,Survey Number,SITE_ID,Year,Month,Day,LAT_DD,LON_DD,WSAREA_km2,lake_AREA_HA,NTL,PTL,SNOW,SNOW_YrMean,FIRE,FIRE_YrMean,LST,LST_YrMean,NPP,NPP_YrMean,Precip,Precip_YrMean,Tmean,Tmean_YrMean,Atmo_Pdep_2002,Atmo_Pdep_2007,Tot_Ndep_2000,Tot_Ndep_2007,Tot_Sdep_2000,Tot_Sdep_2007,N_CBNF_2007,N_Crop_N_Rem_2007,N_Fert_Farm_2007,N_Fert_Urban_2007,Human_N_Demand_2007,N_Human_Waste_2007,N_Livestock_Food_Demand_2007,N_Livestock.Waste_2007,N_Livestock_N_Content_2007,N_Rock_2007,nani,P_Crop_removal_2007,P_f_fertilizer_2007,P_livestock_demand_2007,P_livestock_Waste_2007,P_livestock_production_2007,P_nf_fertilizer_2007,P_human_food_demand_kg_2007,P_human_nonfood_demand_kg_2007,P_human_waste_kg_2007,P_Accumulated_ag_inputs_2007,NAPI,Total Input,Legacy,DamDensWs,PctWdWet2011Ws,PctHbWet2011Ws,wetlands,RunoffWs,ClayWs,SandWs,OmWs,BFIWs,AgKffactWs,P2O5Ws,Depth,logchl_A
Mirror Lake,1,NLA06608-0013,2007,9,4,39.9742803,-74.5625512,93.76924728,37.14025576,2.58546073,1.462397998,0,0.345160107,0.041392686,0.096765223,1.417595906,1.236127792,0.616355576,0.536553472,1.247875107,2.04983542,1.329865493,1.122237725,0.99565165,1.005978637,1.211565621,1.196834598,1.22371829,1.173438463,0.264903806,0.487109956,0.553283026,0.775299537,1.507058556,1.387243786,0.263797248,0.220048473,0.070373721,0.306439559,1.592272668,0.113162011,0.159221035,0.10047939,0.068884204,0.036801692,0.235511361,0.623955245,0.544729908,0.782887646,2.037363331,2.608010718,1.584013333,3.638946223,0.036981541,1.489090358,0.025070289,1.489926435,2.748903079,0.891207303,1.885544366,0.559928774,1.815846613,0.002312831,0.051449821,0.361727836,1.127590677
Unnamed Lake,1,NLA06608-0014,2007,8,6,47.8349274,-100.5756807,7.066625128,12.80952857,3.617838748,2.245512668,0,1.430317615,0.041392686,0.05685723,1.46316379,1.115409567,0.353888981,0.201278819,1.863233616,1.616225998,1.299942917,0.794938027,0.795096884,0.905653967,0.905029333,0.85048363,0.719440515,0.621433866,0.7688039,1.614449122,1.601802997,0.092155466,0.062206129,0.047539314,0.893900587,0.815310024,0.361072888,0.250070031,1.026371437,0.8919156,0.855248309,0.546688914,0.411696205,0.287965546,0.006861974,0.004322345,0.003380496,0.006808398,2.323025027,0.869258774,2.866801752,3.633952171,0,0.345142083,1.377958241,1.399494358,1.041392685,1.184691431,1.723736368,0.334453751,1.397940009,0.024766134,0.061969782,0.230448921,1.194097886
Caballo Reservoir,1,NLA06608-0015,2007,7,10,33.0071076,-107.2747938,68562.98157,173.9929805,2.673020907,2.041392685,0.065753849,1.265549956,0.042693695,0.04376208,1.570579457,1.313021821,0.336532163,0.231163406,1.731856069,1.658878528,1.333101825,0.983558203,0.849308895,1.02923937,0.713960886,0.708240862,0.376627283,0.358549193,0.403534957,0.547826624,0.357801023,0.034039563,0.276086398,0.222015022,0.44430965,0.389603829,0.123598228,0.333781697,0.568631436,0.120331475,0.071823566,0.206382207,0.142125049,0.086787241,0.00666339,0.038048691,0.030005685,0.058669086,1.510752044,0.414333078,1.23964914,3.451530292,0.001290655,0.338107185,0.142745122,0.409490905,1.727939597,1.371269007,1.618837824,0.150666393,1.646100852,0.002419644,0.074734048,0.809559715,1.251029539
Lake Maloney,1,NLA06608-0016,2007,6,27,41.0302522,-100.7797567,42.28744418,641.0233086,2.691081492,0.84509804,0,1.286454117,0.041392686,0.041392686,1.508131903,1.317717947,0.474548922,0.199932169,1.977815011,1.892873398,1.315025214,1.017050742,0.763923415,0.920725028,0.917023155,1.065646933,0.499533275,0.625918658,0.53220384,1.107483922,0.950742271,0.014888963,0.137845047,0.107412424,0.45860241,0.371057136,0.183219517,0.39399769,0.109323375,0.470165243,0.340491366,0.224344298,0.153106098,0.098157228,0.002821914,0.016334551,0.012813502,0.025529572,1.793268125,0,1.690696721,3.26190488,0,0.403257176,0.007060247,0.406060641,1.146128036,0.674933548,1.827506204,0.093721339,1.786174765,0.00221075,0.054346319,0.8162413,1.199206479
Doyles Lake,1,NLA06608-0019,2007,6,11,46.3668879,-99.5118588,91.69963217,103.3135279,3.848065895,2.904174368,0,1.392864595,0.041392686,0.041392686,1.432586365,1.135335803,0.496896971,0.201054666,2.016218274,1.689430966,1.287717779,0.814698362,0.753437495,0.910495801,0.876020516,0.937080111,0.653060232,0.592748519,0.99093634,1.372731044,1.305200657,0.014617742,0.026551267,0.020094374,1.025239651,0.937964101,0.46679079,0.368709532,1.151164426,0.630835106,0.663560662,0.654737864,0.5062924,0.363123615,0.001962303,0.002812604,0.00219891,0.004434735,2.192990711,1.66893633,2.618551791,4.002488846,0,0,0.409921021,0.409921021,1.376989,1.38449368,1.504990923,0.297182692,1.464040639,0.029443891,0.056625997,0.041392685,1.40045164
Mill Creek Lake,1,NLA06608-0020,2007,6,11,39.4081784,-87.8138083,53.75406649,296.2001459,2.782472624,1.491361694,0,1.040355199,0.041392686,0.041392686,1.526318943,1.240162567,0.515550524,0.269568098,2.017102937,1.975674294,1.383934983,1.120532804,1.158685072,1.178049835,1.139235586,1.096386975,1.24008851,1.118289862,1.731773589,1.999719607,1.801260114,0.083992323,0.374486217,0.307070855,0.622907491,0.52959145,0.258024241,0.402501005,1.327070419,1.210587359,1.08379759,0.390436852,0.303549518,0.160030985,0.016125725,0.057386868,0.045465402,0.087481885,2.934273433,0,3.27310975,4.907606149,0.015864114,0.003620288,0,0.003620288,2.574760686,1.422694606,1.123977534,0.184413006,1.43456297,0.0989111,0.111979498,1.155336037,1.246375464
Canandaigua Lake,1,NLA06608-0021,2007,7,27,42.7719197,-77.3095481,241.6641707,4226.925272,2.592176757,0.903089987,0,1.216238653,0.041392686,0.041392686,1.364100224,1.101028197,0.465862738,0.354361811,2.019066415,1.938829408,1.32446766,1.001605729,1.15557287,1.12898053,1.136015775,1.045025869,1.269174696,1.118771793,1.019948552,1.470722704,0.941631258,0.325225194,0.838558814,0.734669857,1.351256083,1.239445312,0.785061149,0.416845863,1.114525334,0.744329263,0.475835307,0.862911986,0.716819674,0.489017679,0.058932176,0.206304251,0.168807548,0.292379373,2.622460264,1.779440707,2.69193741,5.355226386,0.004487847,0.495642947,0.291612955,0.611490753,2.617209597,1.327533074,1.378396505,0.461187003,1.720155862,0.049623428,0.087447496,1.695919253,0.614897216
Birdbath Lake,1,NLA06608-0023,2007,8,9,31.1484917,-97.745332,0.743655017,6.20722172,2.544068044,1.113943352,0,0,0.041392686,0.354844455,1.560556169,1.463163793,0.262619241,0.235523475,1.014520545,2.079157115,1.479863093,1.308199687,0.987861901,1.027833771,1.01821379,1.004659406,0.803755346,0.737726914,0,0,0,1.173933599,1.768245245,1.646423337,0,0,0,0.570557716,1.861504905,0,0,0,0,0,0.379175987,0.845168735,0.754989459,1.020358194,0,3.186721996,1.607237904,0,0.103029377,0.102111207,0,0.102111207,1.818861594,1.590402505,1.155709906,0.385709619,1.569982761,0,0.11888595,0.462397998,0.579783597
Lake Palestine,1,NLA06608-0024,2007,7,11,32.1220497,-95.4884341,2170.026762,9530.145112,2.935003151,1.556302501,0,0.006653945,0.041392686,0.065996873,1.464736194,1.41503137,0.373317533,0.323609589,2.400855953,2.057581671,1.432892363,1.293649779,1.053577777,1.092675047,1.070522084,1.053015091,0.970258677,0.91682656,0.093153095,1.059780808,1.090024724,0.142960097,0.560786761,0.474373597,1.353812918,1.270153898,0.695232561,0.359512101,1.356438643,0.45710654,0.490704055,0.973654426,0.797285252,0.617120763,0.02775159,0.104686122,0.083844877,0.155517001,2.54173617,2.500326905,2.82862616,6.275536316,0.014762439,1.115741348,0.103315558,1.124585903,2.323135393,1.418047095,1.6541187,0.201266718,1.351072171,0.044205271,0.051847836,1.068185862,1.553579642
Kings Mountian #1 Lake,1,NLA06608-0025,2007,6,18,35.2013214,-81.3457308,6.838269982,11.48123514,2.292256071,1.041392685,0,0.034235689,0.041392686,0.048652167,1.491085819,1.344470925,0.414710221,0.421443602,1.950060444,1.964567991,1.40713586,1.228747798,1.017776014,1.041566378,1.108153537,1.015885298,1.031944664,0.857468947,0.104488484,0.335722938,0.487215636,0.257209597,0.674909413,0.580037012,0.491417583,0.418027184,0.170863489,0.178930641,0.9215228,0.072310995,0.156624632,0.348848052,0.254874181,0.156682668,0.094080899,0.141327986,0.114102964,0.206168909,1.90460182,1.43393652,1.637712344,5.291822054,0.111512642,0.058770758,0,0.058770758,2.785346248,1.639856922,1.21106044,0.104342619,1.698179764,0.006159019,0.058837055,0.851258349,0.409087369
Red Mill Pond,1,NLA06608-0029,2007,7,2,38.7560105,-75.2150379,18.7698932,73.10037419,3.323664536,2.394451681,0,0,0.041392686,0.041392686,1.465218864,1.293034676,0.35671827,0.3701392,1.880241785,2.009670398,1.417471719,1.18815478,1.031452076,1.032266097,1.20097737,1.201431809,1.196572148,1.172571703,1.296818153,1.727884354,1.603913605,0.926198191,1.171727461,1.057041182,1.411498503,1.203826218,1.03356929,0.302507279,1.631648815,0.996757363,0.698403786,1.69001761,1.475870264,1.302464156,0.153615806,0.386871692,0.326894198,0.514568228,3.108693331,3.988058354,4.229423724,7.237444579,0,0.937209927,0.146687052,0.956920322,2.639025979,1.184691431,1.862429556,0.247973266,1.814140331,0.04042101,0.078974909,0.096910013,2.064308207
Caldwell Lake,1,NLA06608-0031,2007,6,13,39.7764536,-81.5174519,12.16141233,24.24953577,2.632457292,1.51851394,0,0.92291676,0.041392686,0.041392686,1.431110376,1.211558638,0.589978166,0.414710219,2.053116861,1.981895021,1.340344949,1.075451912,1.112444129,1.124380318,1.245667483,1.164940542,1.56207996,1.491532267,0.728402366,1.217628678,0.59515417,0.074283238,0.417402814,0.344944179,1.28592566,1.201759405,0.64375928,0.436714094,0.978070569,0.539665732,0.346203412,0.869097309,0.703629758,0.5242369,0.012628721,0.066698086,0.052957948,0.101137166,2.639002557,1.859887489,2.540356588,6.084125407,0.066230217,0.03404577,0,0.03404577,2.706672174,1.498723807,1.203242717,0.244185292,1.514838799,0.041599862,0.084279597,0.685741739,0.896526217
Swamp,1,NLA06608-0033,2007,7,17,47.3110836,-121.2990598,5.519077524,15.16448355,2.922206277,1.832508913,0,1.704486047,0.041392686,0.041392686,1.342888755,0.867549456,0.875061263,0.492449654,0.617000352,2.17058195,1.259952053,0.886937011,0.881510178,0.885941585,0.653696191,0.550468401,0.685735758,0.37560235,0,0,0,0.02889818,0.336443087,0.273879055,0,0,0,0.379682358,0.350896066,0,0,0,0,0,0.004886094,0.049431032,0.039088462,0.075704015,0,0.224160857,0.889351329,0,0,1.157678368,0.403000023,1.201578243,2.733999287,1.129957426,1.615702445,0.246684102,1.792391689,0,0.081173998,0.204119983,0.896526217
Whoople Cat Lake,1,NLA06608-0036,2007,7,12,37.477354,-88.3273792,1.224605698,12.02760537,2.252853031,0.954242509,0,0,0.041392686,0.041392686,1.437713113,1.271425378,0.142325403,0.29549134,2.037466348,2.106460052,1.402347391,1.167440417,1.065467667,1.1455755,1.130483337,1.088957813,1.177469393,1.05649761,0,0,0,0,0,0,0,0,0,0.607794806,0.038244811,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0.219443632,0,0,0,2.586587305,1.377124042,1.246219806,0.170261715,1.146128036,0,0.113397806,0.698970004,0.702861171
Lake Waramaug,1,NLA06608-0037,2007,7,13,41.6969929,-73.3639855,37.25673266,236.955581,2.380211242,1.176091259,0,1.082693514,0.041392686,0.041392686,1.375591611,1.128403297,0.62098399,0.496556485,2.228143623,2.037273738,1.330210772,1.004769052,0.920029364,0.923560546,1.184028277,1.067023778,1.191747432,1.092206405,0.240988671,0.799433303,0.674571114,0.355315184,0.814455771,0.711701493,0.710197577,0.627676296,0.275982635,0.481692272,1.008709493,0.266928158,0.125979687,0.346750534,0.256355374,0.15153515,0.095475293,0.195790708,0.159869315,0.27870781,2.189742358,1.223564947,1.604389277,4.759376565,0.011504309,0.784125516,0.253440667,0.837306276,2.824776462,0.866741864,1.681663725,0.623788497,1.693566605,0.010673705,0.049710403,1.102090526,0.883093359
Island Pond,1,NLA06608-0038,2007,7,12,44.7975912,-71.8697174,25.86530737,220.6478779,2.201397124,0.698970004,0,1.564321948,0.041392686,0.041392686,1.324857404,0.883163844,0.821443892,0.509724285,2.187473721,2.007870412,1.247216088,0.72567347,0.901879868,0.892151957,0.966394485,0.920044239,0.944911624,0.841868868,0,0,0,0.221491086,0.660114512,0.56622596,0.435141599,0.36540658,0.14737451,0.220006894,0.816889051,0,0.025963549,0.170987042,0.122302639,0.063411856,0.013158895,0.048959113,0.038710959,0.075002125,1.402699866,0.594544203,1.148189238,3.826205863,0,0.758911316,0.046953409,0.767465136,2.796660064,0.830891035,1.702730022,0.337535628,1.689357499,0.002007027,0.050241711,1.095169351,0.62324929
Summersville Lake,1,NLA06608-0041,2007,6,12,38.2269409,-80.8540552,2083.774493,1071.509332,2.678518379,0.301029996,0,0.769573875,0.041392686,0.048497022,1.358585466,1.184039706,0.83417118,0.535364049,2.109851583,2.04968773,1.291189571,1.02100615,1.07074326,1.092260865,1.203186224,1.102948299,1.479349839,1.364930163,0.032568695,0.299518443,0.144821156,0.033904302,0.244054942,0.194916776,0.586495141,0.519380565,0.191056529,0.464877648,0.559016067,0.069042839,0.063561647,0.308368205,0.217311924,0.141366407,0.00576776,0.032496488,0.025592739,0.05027775,1.793517533,0.72202127,1.360268697,4.453940899,0.001456999,0.01513855,0.034576271,0.048574762,2.887082844,1.35020543,1.387228996,0.190132361,1.542210099,0.004496721,0.064648226,1.579783597,0.303196057
Willow Park Reservoir,1,NLA06608-0042,2007,6,22,44.4582352,-107.0403753,87.79963746,77.7184868,2.330413773,1.204119983,1.956024662,1.880626072,0.041392686,0.041392686,1.120729338,0.365281568,0.35104114,0.140782614,1.973312613,1.848669687,0.926856715,0.142276449,0.592120119,0.895533592,0.761640079,0.837796218,0.497289022,0.50950701,0,0,0,0,0,0,0,0,0,0.431409405,0.000290915,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0.004916724,0.026331556,0,0.026331556,2.151465031,1.079522383,1.731285406,0.209999376,1.786242842,0,0.046016571,1.138302698,0.438542349
Messick Lake,1,NLA06608-0043,2007,7,31,41.553395,-85.4442417,150.9026147,24.24719175,2.810232518,1,0,1.067613922,0.041392686,0.056613743,1.477349171,1.189724561,0.490726938,0.309775423,1.965423469,1.943149896,1.355218838,1.051428176,1.266107001,1.281426556,1.182919166,1.153144264,1.20593888,1.116080386,1.499964793,1.794733097,1.626426078,0.193768225,0.581015717,0.492949514,1.295371483,1.175901706,0.759490466,0.394463538,1.461811154,1.015524067,0.862090411,0.900785714,0.753548241,0.51694775,0.033205217,0.110443319,0.088569392,0.163585501,2.947236916,1.521429457,3.182134153,6.128462775,0.014482072,1.287889714,0.091876389,1.29313101,2.572871602,1.291003059,1.643986622,1.030167432,1.77822997,0.064198621,0.056453349,1.213517757,0.803798408
Steverson Lake,1,NLA06608-0044,2007,7,18,42.4048448,-101.7024805,202.3008717,219.8023543,3.613736141,2.779596491,0,1.227353527,0.041392686,0.041392686,1.633150214,1.321540259,0.083011405,0.146921156,1.425417758,1.634477271,1.400248031,0.980091335,0.698619823,0.91991448,0.856064539,0.878292448,0.456560573,0.438603002,0.104355745,0.304638716,0.317250128,0.000230198,0.003509536,0.002638867,0.279828796,0.232628347,0.077788235,0.356895591,0.311448003,0.066133625,0.031315636,0.125639692,0.082766038,0.051361298,9.54255E-05,0.000362774,0.000283442,0.000572931,1.223729068,0.121640206,1.069232913,0,0,0.118104092,0.736440891,0.760654009,1.985626019,0.723425961,1.93725667,0.140502246,1.876622671,0.000337551,0.037953309,0.204119983,2.127121003
Beaver Pond,1,NLA06608-0045,2007,6,26,37.2932049,-77.8898611,42.17876613,28.83819816,2.812244697,1.740362689,0,0,0.123034529,0.074740275,1.459024251,1.305057836,0.487260894,0.453910203,1.859318476,2.078014021,1.375617887,1.176916841,1.031452076,1.032266097,1.093958799,1.064163607,1.066116373,1.015863775,0.618999961,1.171795064,1.115577423,0.093183359,0.442580065,0.367361902,1.353452789,1.238542334,0.795610941,0.333841043,1.3157188,0.506596645,0.487690086,1.214951896,1.021360872,0.838844751,0.047098544,0.072932611,0.057992197,0.11020523,2.803858422,2.978897614,3.235714449,6.945287654,0.039347888,0.595058442,0.071600144,0.614397785,2.551449998,1.601443998,1.532830849,0.112096349,1.643391807,0.037592927,0.040971842,0.361727836,1.335257256
Nolen Blue Hole,1,NLA06608-0048,2007,8,2,36.7872968,-89.1757255,0.452342891,5.61794831,2.888740961,2.049218023,0,0,0.041392686,0.043264011,1.519135261,1.303076949,-0.415829106,0.302736463,0.359835475,2.080127219,1.475671211,1.192242127,1.02804718,1.272994336,1.149851002,1.075714082,1.133778011,0.988524289,1.458076655,1.782514945,1.624852837,0,0,0,0.548977688,0.461229995,0.216846619,0.457533891,1.093267944,0.980327419,0.913073778,0.479114376,0.349855544,0.249399709,0,0,0,0,2.680664104,0,2.939211523,0,0,1.23258743,0.652874935,1.313454225,2.643452676,1.516799704,1.350741255,0.149219113,1.431363764,0.054111951,0.056039973,0.484299839,1.59488955
Clear Creek Reservoir,1,NLA06608-0049,2007,8,15,45.0623267,-117.1533553,4.044261315,12.89054746,2.409933123,1.204119983,0,1.750117467,0.041392686,0.458902116,1.469300066,0.91855591,0.491416856,0.298457665,1.158814646,2.029809743,1.13465515,0.638406072,0.658708581,0.943828262,0.661703345,0.621158255,0.401997713,0.332522787,0,0,0,0,0,0,0,0,0,0.282594882,0.003401314,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0.109390436,0,0,0,2.27012228,1.31993844,1.360025089,0.354108439,1.844576311,0,0.090718237,0.568201724,0.330413773
Adder Pond,1,NLA06608-0050,2007,7,2,43.4460179,-71.8086866,0.852790765,11.97907093,2.482873584,1.230448921,0,1.186676101,0.041392686,0.041392686,1.369245089,1.049477472,0.830063044,0.554207671,2.168615329,2.055412314,1.309630173,0.92322242,0.932038248,0.916074247,0.98381304,0.912773724,0.965263689,0.901353467,0,0,0,0,0,0,0,0,0,0.235840826,0.035108869,0,0,0,0,0,0,0,0,0,0,0,0.881373587,0,0,0.916964994,0,0.916964994,2.752816431,0.639486489,1.850783629,0.741151599,1.785329835,0,0.062021746,0.694605199,0.903903527
South Bay Lake Champlain,1,NLA06608-0053,2007,8,23,43.558193,-73.4396072,3161.13308,470.73915,2.392696953,1.477121255,0,1.260646949,0.041392686,0.041900984,1.397900111,1.040068361,0.741003399,0.498680179,1.860312213,1.990840938,1.31280669,0.909357428,0.95271788,0.936827777,1.048937478,0.954843974,1.035536841,0.894184924,0.015558933,0.071592594,0.049939503,0.09767337,0.467558854,0.389740494,1.066765078,0.962233655,0.543403738,0.165250914,1.054350672,0.011564189,0.191168747,0.60665887,0.482325537,0.302421055,0.019168581,0.077983021,0.062080483,0.117508175,2.238641,1.804970914,2.001970886,4.996963272,0.006983008,0.706776319,0.337521077,0.796990093,2.747122256,1.258279047,1.513097889,0.515823299,1.695957558,0.025359757,0.089093957,0.748188027,0.821840927
