Farm_name,City,State,Last_updated,Association_memberships,farm_count,Naturally_grown,GAP_cert,Cert_organic,Cert_natgrown,IPM,ROP_cert,Demeter_cert,animal_welfare,grass_fed,conventional,transitional,kosher,halaal
Angel Hair Alpacas (MA),North Grafton,Massachusetts,11/20/2023,"
Alpaca Owners Association, Inc. (AOA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Angevine Farm,Warren,Connecticut,9/19/2023,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Apple Creek Vineyard Farm & Nursery,Galt,California,10/3/2023,"
Community Alliance with Family Farmers (CAFF)
National Farm To School Network (FTS)
",1,1,1,0,1,1,0,0,0,0,0,1,0,0
Apple Haven Heritage Farm,Harrisville,Michigan,10/19/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Applewood Grove,Ben Wheeler,Texas,11/8/2023,"
Texas Organic Farmers & Gardeners Association (TOFGA)
Farm and Ranch Freedom Alliance (FARFA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
April Lynn Boyer,SPENCERVILLE,Ohio,1/19/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aquarius Ranch,Hinkley,California,7/31/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arise & Shine Gardens, LLC",New Richmond,Ohio,12/19/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ashfield Cattle LLC.,Hartland,Michigan,6/10/2024,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Astor Apiaries,Queens,New York,10/7/2023,,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Atwater Preserve,Grass Valley,California,7/30/2024,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aunt Zorada Farm,Vero Beach,Florida,6/5/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Auspuffanlagen Ranch,Montague,California,12/31/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Avdis Ranch,Sacramento,California,6/26/2024,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Averill Farm,Washington Depot,Connecticut,9/26/2023,"
Northeast Organic Farming Association (NOFA)
",1,0,0,0,1,1,0,0,0,0,1,0,0,0
Abronia Acres,,Michigan,6/18/2024,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Better Tomorrow,Estacada,Oregon,6/29/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Different Chick Farm and Orchard,Johnson City,Tennessee,1/30/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Gold Farm,Vienna,Ohio,8/4/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A+ Ranch Organic,Richfield,Idaho,10/14/2022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2/A2 Heritage Breed Farms,Covington,Ohio,9/20/2022,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
AG Dependent Farm,Sylvan Springs,Alabama,3/6/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AIRAYA U-Pick Farm,Brentwood,California,5/17/2023,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,1,0,0,0,0,1,0,0,0
Abbie Lane Farm,Gold Hill,Oregon,2/21/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbott Farms,Baldwinsville,New York,9/20/2022,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Abby Rose Farm,Mansfield,Ohio,4/27/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdeen Farms,Owensboro,Kentucky,7/23/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Abundant Goodness Gardens,Mount Joy,Pennsylvania,3/2/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Acadian Family Farm,Fort Cobb,Oklahoma,12/1/2022,,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Acorn Acres Farmstead,New Berlin,New York,7/19/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamah Farm Central Detroit,Detroit,Michigan,4/17/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Addy's Sunflowers,Coloma,Michigan,5/10/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agape Farm,Spokane,Washington,11/13/2022,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alford's Farm LLC,Bloomsdale,Missouri,3/10/2023,,1,1,0,0,0,0,0,0,0,1,1,0,0,0
Alfred Smith's Farm,Hibbing,Minnesota,9/1/2022,"
Land Stewardship Project (LSP)
National Farm To School Network (FTS)
Sustainable Farming Association of MN (SFA)
",1,0,1,0,0,0,0,0,0,0,0,0,0,0
Alissa Rivers,Granville,New York,6/8/2023,,1,1,0,0,1,0,0,0,1,0,0,0,0,0
All Natural Homestead Beef,La Salle,Colorado,2/7/2023,,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Allen Family Gourmet Mushrooms & Microgreens,Kansas City,Kansas,1/16/2023,,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Altai Meadows,Higbee,Missouri,9/20/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Amanda Limback,Morris,Illinois,4/20/2023,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Amber Brooke Farms,Eustis,Florida,4/19/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amber Brooke Farms - Williston,Williston,Florida,4/18/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amber's Farm,Altona,New York,1/26/2023,"
Buy Fresh, Buy Local ()
",1,0,0,0,0,0,0,0,0,1,0,0,0,0
Amorphous Gardens,Canton,Mississippi,9/20/2022,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Amy Glaser,Brooktondale,New York,8/25/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Amy Simon,East Sparta,Ohio,12/13/2022,"
Ohio Ecological Food and Farm Association (OEFFA)
Association of Specialty Cut Flower Growers (ASCFG)
Buy Fresh, Buy Local ()
American Grassfed Association (AGA)
",1,0,0,1,0,1,0,1,1,1,0,0,0,0
Ananda Marga Sentient Farm,Purling,New York,7/31/2023,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Deusen,Edgewood,Washington,1/11/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angels Nesting Farm LLC.,Fairbanks,AK,3/20/2023,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
Angus Cattle Co,Laingsburg,Michigan,10/18/2022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie Acres,Nashville,Tennessee,12/23/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Anutty Farm,Rolla,Missouri,12/21/2022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Creek Farm,Bowdoinham,Maine,2/28/2023,"
Maine Organic Farmers and Gardeners Association (MOFGA)
American Pastured Poultry Producers (APPPA)
National Young Farmers Coalition (NYFC)
",1,0,0,1,0,0,0,1,1,1,0,0,0,0
Applegarth  Farm,Maryland,New York,3/30/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
April Young Eggs,Wellsville,Missouri,2/20/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Apsey Farms,Reed City,Michigan,2/17/2023,"
National Farm To School Network (FTS)
American Grassfed Association (AGA)
",1,0,0,0,0,0,0,0,1,1,0,0,0,0
Arandano Farm,Belmont,New Hampshire,2/16/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Arboretum Springs Farm,MADERA,California,5/20/2023,,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Ark Farms,,North Carolina,3/6/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia Farm and Vineyard,Bentonville,Virginia,3/6/2023,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,1,0,0,0,0,0,0,0,0
Ashland Produce,Rigby,Idaho,9/21/2022,,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Ashwood Acres,Abingdon,Virginia,2/21/2023,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
At Together We Bloom,Ogden,Utah,10/10/2022,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta Harvest,Ellenwood,Georgia,9/23/2022,"
Slow Food USA ()
Georgia Organics ()
National Young Farmers Coalition (NYFC)
",1,1,0,0,1,1,0,0,0,1,0,0,0,0
August Haven Farm,St. Augusta,Minnesota,8/22/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Aurora Farms,Friday Harbor,Washington,9/27/2022,"
Biodynamic Farming and Gardening Association (BDA)
Tilth Alliance ()
Buy Fresh, Buy Local ()
American Grassfed Association (AGA)
",1,1,0,0,0,1,0,0,1,1,0,0,0,0
Avodah Sustainable Acres,Rittman,Ohio,9/4/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Awlyahsiyo Farm (YawelyahsiYo),Marine on St Croix,Minnesota,1/2/2023,"
Land Stewardship Project (LSP)
",1,1,0,1,0,1,0,0,0,0,0,0,0,0
Ayers Valley Farm,Russellville,Ohio,1/1/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Ayers and Zicarelli,Harborcreek,Pennsylvania,3/13/2023,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A & A Acres,Lake City,Iowa,12/13/2012,,1,1,0,0,0,1,0,0,0,0,1,1,0,0
A & A Micro Farms,Lewisville,Texas,2/11/2018,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A & D Hives,Grant Valkaria,Florida,1/10/2019,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
A & H Farm,Manhattan,Kansas,6/9/2015,,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A & M Farms,Riley,Michigan,10/25/2012,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Bar N Ranch,Celina,Texas,4/25/2017,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Cozzolino Nursery,Half Moon Bay,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Field of Dreams Dairy Goats,Middleburg,Florida,6/17/2015,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Fresh and Local CSA,Shepherdstown,West Virginia,3/29/2018,"
Mountain State Organic Growers and Buyers Association (MSOGBA)
Chefs Collaborative ()
Slow Food USA ()
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,1,1,0,0,1,0,0,0,0
A Garden in Every Home,Bandera,Texas,1/27/2017,"
Buy Fresh, Buy Local ()
",1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Greenveiw Raw Milk Dairy,Utica,Ohio,4/24/2016,,1,1,0,0,0,0,1,0,0,1,0,0,1,0
A Home Harvest,Spanish Fork,Utah,1/15/2020,,1,1,0,0,0,0,0,0,0,1,1,0,0,0
A Homesteads Pantry,Orrtanna,Pennsylvania,10/18/2020,,1,1,0,0,0,0,0,0,0,1,0,1,0,0
A Land Of Delight Natural Farm,Plant City,Florida,12/30/2018,,1,1,0,1,0,0,0,0,0,1,0,0,0,0
A Land of Grass,Conrad,Montana,3/31/2020,,1,1,0,0,0,1,0,0,1,1,0,0,0,0
A Larrapin Garden,Fayetteville,Arkansas,4/10/2012,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Little Bit of Heaven Farm,Arcadia,Indiana,8/26/2014,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Little Farm,Sedalia,Colorado,11/28/2018,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Local Rabbitry,Avon,New York,7/25/2012,,1,1,0,0,0,1,0,0,0,0,1,0,0,0
A Natural Farm and Educational Center,Howey In The Hills,Florida,5/13/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Neighbors Bounty,Paola,Kansas,2/1/2014,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A New Hope Farm,Thomaston,Connecticut,11/21/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Place of the Heart Farm,Pioneer,Tennessee,1/2/2022,"
Certified Naturally Grown (CNG)
",1,0,0,0,1,1,1,0,0,0,0,0,0,0
"A Rare Breed, LLC",Hedgesville,West Virginia,8/4/2011,"
Certified Naturally Grown (CNG)
Slow Food USA ()
American Pastured Poultry Producers (APPPA)
",1,1,0,0,1,0,0,0,0,1,0,0,0,0
A Shoenau Valley Farm,industry,Texas,10/20/2006,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Simpler Place,Riverview,Florida,3/2/2016,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Simpler Time - Alpacas & Mill,El Cajon,California,11/22/2016,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Stroka Gene-Us Alpacas,Stringer,Mississippi,6/16/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Watered Garden,Plainfield,Connecticut,7/11/2012,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Way of Life Farm,Bostic,North Carolina,1/23/2014,"
Southern SAWG (SSAWG)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
A Wild Mountain Thyme,Princeton,Massachusetts,7/25/2012,"
Northeast Organic Farming Association (NOFA)
Slow Food USA ()
",1,1,0,0,0,1,0,0,0,0,0,1,0,0
A Wing & A Prayer Farm,Norwood,North Carolina,5/2/2013,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Wren's Nest Farm,Pueblo,Colorado,8/21/2016,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Wrinkle in Thyme Farm,Sumner,Maine,5/1/2017,"
Maine Organic Farmers and Gardeners Association (MOFGA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
A bar H Farm,San Simon,Arizona,4/17/2007,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A&L Log Cabin Farm,Stokesdale,North Carolina,9/12/2006,,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"A&M Cheviot Farms, Llc.",Jonesborough,Tennessee,1/26/2009,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A&M Family Farm,Mauston,Wisconsin,4/2/2020,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A'ama Organic Farm,Captain Cook,Hawaii,5/17/2007,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A+ Produce,Pitman,Pennsylvania,4/9/2017,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Frame Farms,Madison,Minnesota,3/22/2019,"
Land Stewardship Project (LSP)
",1,0,0,1,0,0,0,0,0,0,0,0,0,0
A. Nagamini Nursery,Watsonville,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A.T. Bittner Farm,cincinnati,Ohio,2/4/2015,,1,1,0,0,0,1,0,0,0,0,0,0,0,0
A.T. Buzby Farm CSA,Woodstown,New Jersey,2/16/2018,,1,0,1,0,0,1,0,0,0,0,0,0,0,0
A.meliora Ranch,Happy Valley,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A.v. Thomas Produce,Atwater,California,5/6/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A3 Farms,Melrose,Florida,1/6/2020,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
A3 Farms,Valley View,Texas,3/19/2013,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
AA Ranch,Piggott,Arkansas,3/3/2022,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
AAE Society Green Acres,Atlanta,Georgia,1/5/2017,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AB Ranch,Santa Paula,California,10/17/2019,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACME Bliss Farm,Brooklyn,Connecticut,5/8/2012,,1,1,0,0,1,0,0,0,0,1,0,0,0,0
ACME Farm,Salina,Kansas,3/17/2015,"
American Pastured Poultry Producers (APPPA)
",1,1,0,0,0,0,0,0,0,1,0,0,0,0
"ACYS Farms, Lewis County",Ethel,Washington,3/29/2022,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AE Honey,Burr Ridge,Illinois,3/7/2015,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AJ Grass Fed Farms,West Fork,Arkansas,6/21/2010,,1,1,0,0,0,0,0,0,0,1,0,0,0,0
AK Produce & More,BELGRADE,Minnesota,5/17/2016,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AKA Farm,Lake City,Florida,9/14/2021,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
